fc_id,em_id,group
fru-F-400338,1141678665,projection
fru-F-400338,1205090786,projection
fru-F-400437,1173745330,projection
fru-F-400437,1141678665,projection
fru-F-400475,5901203987,projection
fru-F-400475,519591210,projection
fru-F-500083,1261130127,projection
fru-F-500083,1261129711,projection
fru-F-500115,1206114100,projection
fru-F-500115,1173745330,projection
fru-F-500297,1051630846,projection
fru-F-500297,948035783,projection
fru-F-500435,1142011140,projection
fru-F-500435,1510648834,projection
fru-F-500584,862705904,projection
fru-F-500584,1205090786,projection
fru-F-600168,1101133698,projection
fru-F-600168,977343309,projection
fru-F-600186,609587511,projection
fru-F-600186,550280614,projection
fru-F-700104,1142365351,projection
fru-F-700104,1173745330,projection
fru-F-700114,1224945418,projection
fru-F-700114,1224258912,projection
fru-F-700163,1142356576,projection
fru-F-700163,862705904,projection
fru-F-700245,1204175835,projection
fru-F-700245,1100792636,projection
fru-F-700257,1141337605,projection
fru-F-700257,1224258912,projection
fru-M-400031,1290416713,projection
fru-M-400031,1198006801,projection
fru-M-400362,955464899,projection
fru-M-400362,1469403612,projection
fru-M-400401,955464899,projection
fru-M-400401,829261936,projection
fru-M-500174,266187383,projection
fru-M-500174,977343309,projection
fru-M-500374,737832306,projection
fru-M-500374,1224258912,projection
fru-M-500377,1100792636,projection
fru-M-500377,5813057274,projection
fru-M-500383,5813034306,projection
fru-M-500383,1205090786,projection
fru-M-700067,1228683492,projection
fru-M-700067,550617370,projection
fru-M-700270,1204175835,projection
fru-M-700270,1510648834,projection
G0239-F-000001,300972942,projection
G0239-F-000001,5813068729,projection
G0239-F-000003,300972942,projection
G0239-F-000003,5813068729,projection
G0239-F-000005,300972942,projection
G0239-F-000005,5813068729,projection
G0239-F-000007,300972942,projection
G0239-F-000007,5813068729,projection
G0239-F-000008,300972942,projection
G0239-F-000008,267896360,projection
G0239-F-000009,5813068729,projection
G0239-F-000009,300972942,projection
G0239-F-000011,676573560,projection
G0239-F-000011,636667489,projection
G0239-F-000012,300972942,projection
G0239-F-000012,5813068729,projection
G0239-F-000013,300972942,projection
G0239-F-000013,5813068729,projection
Gad1-F-001409,1610224198,projection
Gad1-F-001409,1641250106,projection
Gad1-F-101173,5813020585,projection
Gad1-F-101173,5813020455,projection
Gad1-F-200227,5813022201,projection
Gad1-F-200227,860983686,projection
Gad1-F-300153,1224258912,projection
Gad1-F-300153,1224945418,projection
Gad1-F-300154,517854468,projection
Gad1-F-300154,423774471,projection
Gad1-F-300275,702389193,projection
Gad1-F-300309,955464899,projection
Gad1-F-300309,862705904,projection
Gad1-F-301525,422682603,projection
Gad1-F-301525,1419019956,projection
Gad1-F-301704,424789697,projection
Gad1-F-301704,760686202,projection
Gad1-F-400259,518899665,projection
Gad1-F-400259,296543992,projection
Gad1-F-400718,1266871604,projection
Gad1-F-400718,673518025,projection
Gad1-F-400957,1262114202,projection
Gad1-F-400957,1261423370,projection
Gad1-F-402516,829261936,projection
Gad1-F-402516,862705904,projection
Gad1-F-500136,946641153,projection
Gad1-F-500136,1290416713,projection
Gad1-F-500365,613719036,projection
Gad1-F-500365,768555687,projection
Gad1-F-500524,1173045815,projection
Gad1-F-500524,1141337605,projection
Gad1-F-500559,5813022201,projection
Gad1-F-500559,1171690479,projection
Gad1-F-502126,1142365351,projection
Gad1-F-502126,956138930,projection
Gad1-F-600109,1670278227,projection
Gad1-F-600109,1510648834,projection
Gad1-F-600115,946641153,projection
Gad1-F-600345,922810839,projection
Gad1-F-600345,5813077405,projection
Gad1-F-601324,5812980638,projection
Gad1-F-601324,1172372382,projection
Gad1-F-700131,613719036,projection
Gad1-F-700131,673085197,projection
Gad1-F-800094,1198330641,projection
Gad1-F-800094,1290416713,projection
Gad1-F-900001,1290416713,projection
Gad1-F-900001,5813026366,projection
Gad1-F-900194,1448929233,projection
Gad1-F-900194,1193560072,projection
TH-F-000101,331662710,projection
TH-F-000101,421641859,projection
TH-F-100083,331662710,projection
TH-F-100083,329970706,projection
TH-F-100099,331662710,projection
TH-F-100099,329970706,projection
TH-F-200030,328943204,projection
TH-F-200030,203253253,projection
TH-F-200033,517514142,projection
TH-F-200033,608922563,projection
TH-F-200081,331662710,projection
TH-F-200081,330268940,projection
TH-F-300020,484911954,projection
TH-F-300020,1048172314,projection
TH-F-300073,328943204,projection
TH-F-300073,361040812,projection
TH-F-700001,418969956,projection
TH-F-700001,297166053,projection
TH-F-700004,643830129,projection
TH-F-700004,5813089803,projection
TH-F-700016,5812982779,projection
TH-F-700016,5813089803,projection
