fc,em,similarity score
5813039309,Gad1-F-200186,0.1105908302002617
Gad1-F-200186,5813034455,0.0668470048251538
5813034455,Gad1-F-200186,0.0108455615796546
TH-F-000009,1406911688,0.222456828073207
1406911688,TH-F-000009,0.3033461152277523
TH-F-000010,298258611,0.4029991429514418
298258611,TH-F-000010,0.3331467979834761
TH-F-000019,675767414,0.4060808092798784
675767414,TH-F-000019,0.4130289884888322
TH-F-000019,510049477,0.4164182203756429
510049477,TH-F-000019,0.5008794093727247
TH-M-000029,675767414,0.3676004316887747
675767414,TH-M-000029,0.3718424817804505
TH-M-000032,675767414,0.3825108175778764
675767414,TH-M-000032,0.387610218471805
TH-M-000032,611629428,0.3644004166317188
611629428,TH-M-000032,0.3627648311390962
TH-M-100027,5813057579,0.2373899654123571
5813057579,TH-M-100027,0.2946788385662656
TH-M-100027,797442049,0.1715581392569377
797442049,TH-M-100027,0.1928704562495338
TH-M-100027,5813021583,0.1089125883175566
5813021583,TH-M-100027,0.0863510015424096
TH-M-200034,5813021112,0.2890751883761128
5813021112,TH-M-200034,0.3389738010944695
TH-M-200034,1406911688,0.2233551002154465
1406911688,TH-M-200034,0.2714587526464643
TH-M-200034,797442049,0.1565302067170981
797442049,TH-M-200034,0.2277367568308546
TH-M-200035,387870860,0.2140093456630529
387870860,TH-M-200035,0.312222650117205
TH-M-300017,5813021112,0.2907316738352558
5813021112,TH-M-300017,0.3470705558783781
TH-M-300017,1406911688,0.1834072656054582
1406911688,TH-M-300017,0.2886787398370265
Trh-M-100025,673746277,0.1043209428138945
673746277,Trh-M-100025,0.2099595911192825
Trh-M-100060,297251714,0.2993381798497863
297251714,Trh-M-100060,0.2812353732049504
Trh-M-100071,5813062858,0.5099591059810328
5813062858,Trh-M-100071,0.3756384776800894
Trh-M-500163,5813033196,0.3593447012595381
5813033196,Trh-M-500163,0.360282234853472
Trh-M-700039,797442049,-0.002048426104495
797442049,Trh-M-700039,0.036938768625667
VGlut-F-000016,5813098368,0.3927574910990671
5813098368,VGlut-F-000016,0.4273759349913843
VGlut-F-000016,1321564092,0.629873250352439
1321564092,VGlut-F-000016,0.476812438923428
VGlut-F-000016,857793013,0.1371706675235395
857793013,VGlut-F-000016,0.2411639880945945
VGlut-F-000111,5813057579,0.3194620456340731
5813057579,VGlut-F-000111,0.2008284839695991
VGlut-F-000158,328870472,0.4773435067761159
328870472,VGlut-F-000158,0.4186480337340703
VGlut-F-000158,298612190,0.3987451321590499
298612190,VGlut-F-000158,0.4137540532583186
VGlut-F-000158,5813078542,0.4168657129950684
5813078542,VGlut-F-000158,0.4593892831919613
VGlut-F-200036,947573616,0.4673326506572168
947573616,VGlut-F-200036,0.2749124755902334
VGlut-F-200062,329225149,0.1609495043371182
329225149,VGlut-F-200062,0.1369029411972703
VGlut-F-200062,361312808,0.2904770995009509
361312808,VGlut-F-200062,0.1976539190826896
VGlut-F-200062,329897255,0.1734365140652712
329897255,VGlut-F-200062,0.0834464625881473
VGlut-F-200143,298254384,0.4335853729230327
298254384,VGlut-F-200143,0.4139538386814986
VGlut-F-200143,5813020785,0.3641403344109238
5813020785,VGlut-F-200143,0.3908849984394255
VGlut-F-400184,1704347707,0.3263616903344887
1704347707,VGlut-F-400184,0.2443025773079236
VGlut-F-400186,5813034455,0.2827053241857056
5813034455,VGlut-F-400186,0.2196374672446661
VGlut-F-400757,1640555311,0.2513784803961449
1640555311,VGlut-F-400757,0.264068056770013
VGlut-F-400757,1888199872,0.2737303895171188
1888199872,VGlut-F-400757,0.258350667548851
VGlut-F-400757,1762359683,0.4172811706115371
1762359683,VGlut-F-400757,0.3091153183872162
VGlut-F-400898,1702306037,0.3290720380875946
1702306037,VGlut-F-400898,0.2889061887638084
VGlut-F-400898,5813034455,0.2805198346610421
5813034455,VGlut-F-400898,0.2662692932109023
VGlut-F-500876,5813039309,0.2993633088027155
5813039309,VGlut-F-500876,0.2774610791314035
VGlut-F-700261,5813021112,0.2526268450319531
5813021112,VGlut-F-700261,0.2318139942321802
VGlut-F-700541,5813039309,0.2221987368955689
5813039309,VGlut-F-700541,0.2589035241568301
VGlut-F-700541,1702306037,0.3440429232861721
1702306037,VGlut-F-700541,0.2236263154676404
VGlut-F-800130,1640887603,0.3299053258571409
1640887603,VGlut-F-800130,0.2878786798287051
VGlut-F-800130,1578826464,0.3543521947572425
1578826464,VGlut-F-800130,0.2983643041788086
VGlut-F-800130,1640922754,0.408271708835767
1640922754,VGlut-F-800130,0.315937837852264
Cha-F-000009,1048215779,0.3039457312003238
